Date (MST),OTHER,OTHER_ghg,WIND,WIND_ghg,GAS,GAS_ghg,HYDRO,HYDRO_ghg,SOLAR,SOLAR_ghg,ENERGY STORAGE,ENERGY STORAGE_ghg,COAL,COAL_ghg,DUAL FUEL,DUAL FUEL_ghg,Total Generation,Total_ghg,EI,Renewable Gen,Fossil Fuel Gen,Net Generation,Price,Alberta Internal Load,RE_percent,Temp (°C),Dew Point Temp (°C),Wind Spd (km/h),Hmdx
2024-10-19 16:00:00,259.591907708645,49.6437959920724,3610.39348120689,46.9351152556896,6760.48982318309,3285.59805406698,143.7012463251,3.44882991180241,59.9638328650345,2.57844481319649,0,0,,,,,10834.1402912888,3388.20424003974,312.73401940014,3814.05856039703,7020.08173089173,7020.08173089173,2.93,10230,35.2,13,2.8,50,
2024-10-19 17:00:00,259.083056877454,49.7987465003395,3542.72715841257,46.0554530593634,6795.23612051368,3302.48475456965,203.363172819614,4.88071614767075,1.67088885654178,0.0718482208312965,0,0,,,,,10802.0803974799,3403.29151849785,315.058895441275,3747.76122008873,7054.31917739113,7054.31917739113,1.04,10225,34.7,12.5,2.7,45,
2024-10-19 18:00:00,262.202906439569,50.2823326171366,3428.52193933888,44.5707852114054,6954.20699896813,3379.74460149851,175.548982267727,4.21317557442546,0.100000001490116,0.00430000006407499,0,0,,,,,10820.5808270158,3478.81519490154,321.499857587679,3604.17092160809,7216.40990540769,7216.40990540769,7.64,10265,33.3,11.9,3.4,37,
2024-10-19 19:00:00,258.42062111881,49.8696185962645,3502.89345555696,45.5376149222405,6731.98349119769,3271.74397672208,215.375164485731,5.16900394765755,0.100000001490116,0.00430000006407499,-6.25316659683983,-0.206354497695714,,,,,10702.5195657638,3372.11815969061,315.077037605017,3718.36862004418,6990.4041123165,6984.15094571966,0.86,10182,34.7,12.1,3.9,45,
2024-10-19 20:00:00,258.093839841419,50.2330621755028,3483.40146839831,45.284219089178,6674.00576714304,3243.56680283152,190.175291227309,4.56420698945542,0.0461111117775241,0.00198277780643354,-11.6999998688698,-0.386099995672703,,,,,10594.022477853,3343.26417386779,315.580241674675,3673.62287073739,6932.09960698446,6920.39960711559,0,10040,34.7,12.3,4,42,
2024-10-19 21:00:00,260.799304828644,50.6702406074609,3452.83980276823,44.886917435987,6570.46990925206,3193.2483758965,123.105329521166,2.95452790850798,0,0,-7.10772214740515,-0.23455483086437,,,,,10400.1066242227,3291.52550701759,316.48959245777,3575.9451322894,6831.2692140807,6824.1614919333,0,9822,34.4,12.4,3.8,23,
2024-10-19 22:00:00,259.320180252393,51.0883379911571,3513.35421673939,45.673604817612,6371.09306955215,3096.35123180235,85.4735550878528,2.05136532210847,0,0,-1.85227777891689,-0.0611251667042573,,,,,10227.3887438529,3195.10341476652,312.40656777488,3598.82777182724,6630.41324980454,6628.56097202563,0,9626,35.2,12.6,2.6,35,
2024-10-19 23:00:00,261.028111599286,50.8992963278241,3272.31794334971,42.5401332635463,6364.58490595977,3093.18826429645,82.1388415707482,1.97133219769796,0,0,-0.800000011920929,-0.0264000003933907,,,,,9979.26980246759,3188.57262608512,319.519633119517,3354.45678492046,6625.61301755905,6624.81301754713,0,9411,33.6,12.9,2.9,43,
2024-10-20 00:00:00,258.315952324867,49.6339132675743,3181.3773539071,41.3579056007922,6324.51697183304,3073.71524831086,135.225701858732,3.24541684460958,0,0,-0.359222227566772,-0.0118543335097035,,,,,9899.07675769617,3167.94062969033,320.023847398432,3316.60305576583,6582.83292415791,6582.47370193035,0,9268,33.5,13.4,3.2,50,
2024-10-20 01:00:00,258.527627182537,49.5026286837196,3191.41987590634,41.4884583867824,6311.79686872443,3067.53327820007,97.4663558077812,2.33919253938675,0,0,0,0,,,,,9859.21072762109,3160.86355780996,320.60006070817,3288.88623171412,6570.32449590696,6570.32449590696,0,9189,33.4,12.7,3.4,26,
